leiden,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RIV_stressed,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,SMD_stressed,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
0,0.008766626360338573,0.0006045949214026602,0.0012091898428053204,0.006952841596130592,0.0015114873035066505,0.002116082224909311,0.009068923821039904,0.004232164449818622,0.0009068923821039903,0.0015114873035066505,0.017533252720677146,0.005743651753325272,0.004534461910519952,0.0003022974607013301,0.0006045949214026602,0.003022974607013301,0.0003022974607013301,0.004232164449818622,0.010278113663845224,0.004534461910519952,0.003022974607013301,0.005441354292623942,0.03053204353083434,0.008766626360338573,0.007255139056831923,0.007859733978234583,0.003022974607013301,0.019649334945586457,0.003022974607013301,0.003022974607013301,0.0012091898428053204,0.003022974607013301,0.005139056831922612,0.010278113663845224,0.0009068923821039903,0.004232164449818622,0.003325272067714631,0.006045949214026602,0.003022974607013301,0.002116082224909311,0.003022974607013301,0.003022974607013301,0.0048367593712212815,0.0015114873035066505,0.0006045949214026602,0.003325272067714631,0.003022974607013301,0.0009068923821039903,0.006650544135429262,0.002116082224909311,0.0012091898428053204,0.006650544135429262,0.003022974607013301,0.0015114873035066505,0.0006045949214026602,0.007255139056831923,0.007255139056831923,0.0018137847642079807,0.012091898428053204,0.0012091898428053204,0.0003022974607013301,0.017835550181378477,0.0006045949214026602,0.0048367593712212815,0.0018137847642079807,0.0006045949214026602,0.021463119709794438,0.012696493349455865,0.0006045949214026602,0.0009068923821039903,0.0024183796856106408,0.0015114873035066505,0.0003022974607013301,0.0003022974607013301,0.0015114873035066505,0.0018137847642079807,0.003325272067714631,0.008162031438935914,0.0012091898428053204,0.008162031438935914,0.0006045949214026602,0.0048367593712212815,0.0006045949214026602,0.0003022974607013301,0.0009068923821039903,0.010882708585247884,0.007255139056831923,0.002116082224909311,0.003325272067714631,0.004534461910519952,0.003022974607013301,0.005441354292623942,0.004534461910519952,0.008766626360338573,0.02176541717049577,0.015417170495767836,0.010882708585247884,0.003325272067714631,0.011789600967351875,0.012696493349455865,0.002720677146311971,0.005441354292623942,0.011789600967351875,0.035671100362756954,0.021463119709794438,0.05169286577992745,0.04534461910519952,0.023276904474002418,0.0048367593712212815,0.014207980652962516,0.0063482466747279325,0.0024183796856106408,0.0036275695284159614,0.03839177750906892,0.02418379685610641,0.04050785973397823,0.036275695284159616,0.009673518742442563,0.015417170495767836,0.005441354292623942,0.0018137847642079807,0.004232164449818622,0.003929866989117291,0.0,0.009068923821039904,0.012091898428053204,0.04383313180169287,0.004232164449818622,0.0003022974607013301,0.007859733978234583
1,0.0,0.0,0.0,0.0003846153846153846,0.0,0.0,0.0003846153846153846,0.0003846153846153846,0.0,0.0,0.0015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0003846153846153846,0.0,0.0,0.0,0.0003846153846153846,0.0003846153846153846,0.0,0.0007692307692307692,0.0,0.0003846153846153846,0.0,0.0034615384615384616,0.0,0.0003846153846153846,0.0,0.0,0.0,0.0,0.0,0.0007692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002307692307692308,0.0038461538461538464,0.0,0.0003846153846153846,0.0,0.0,0.0,0.0003846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003846153846153846,0.0,0.0,0.0,0.0015384615384615385,0.0003846153846153846,0.0,0.0,0.0,0.0,0.0,0.0015384615384615385,0.0,0.0,0.0,0.0,0.0007692307692307692,0.001153846153846154,0.0003846153846153846,0.0003846153846153846,0.0,0.0007692307692307692,0.0,0.001153846153846154,0.0,0.0003846153846153846,0.0,0.0019230769230769232,0.0003846153846153846,0.0007692307692307692,0.005384615384615384,0.0,0.0,0.0,0.0,0.0,0.0015384615384615385,0.0,0.011153846153846153,0.8969230769230769,0.055384615384615386,0.0,0.0,0.001153846153846154
2,0.0,0.0,0.0,0.0,0.0,0.0004631773969430292,0.0004631773969430292,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15886984715145902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004631773969430292,0.0004631773969430292,0.0,0.0,0.0009263547938860583,0.0,0.0004631773969430292,0.0,0.0,0.0009263547938860583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08754052802223251,0.0009263547938860583,0.12783696155627605,0.037054191755442334,0.0,0.0004631773969430292,0.0,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0,0.0004631773969430292,0.0,0.0,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002315886984715146,0.0018527095877721167,0.0,0.0,0.0,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004631773969430292,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0004631773969430292,0.0004631773969430292,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0004631773969430292,0.0,0.0,0.0,0.0004631773969430292,0.0041685965724872626,0.0004631773969430292,0.0,0.0,0.0,0.0,0.0,0.0009263547938860583,0.06530801296896711,0.0,0.0009263547938860583,0.0009263547938860583,0.0013895321908290875,0.0004631773969430292,0.0,0.0004631773969430292,0.0,0.0,0.0,0.17832329782306625,0.0018527095877721167,0.09263547938860583,0.02732746641963872,0.1954608615099583,0.0013895321908290875,0.0,0.0013895321908290875
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0005428881650380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0,0.0,0.995114006514658,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428881650380022,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0005452562704471102,0.0,0.0010905125408942203,0.003271537622682661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005452562704471102,0.0,0.0,0.0,0.0016357688113413304,0.0005452562704471102,0.0005452562704471102,0.0,0.0,0.0010905125408942203,0.0,0.0,0.0010905125408942203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005452562704471102,0.0,0.0,0.0010905125408942203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016357688113413304,0.0010905125408942203,0.0,0.0016357688113413304,0.0010905125408942203,0.0005452562704471102,0.0,0.0,0.0,0.0,0.0010905125408942203,0.9623773173391494,0.0021810250817884407,0.004362050163576881,0.0,0.0,0.0,0.0,0.0016357688113413304,0.0,0.0,0.0,0.0,0.0,0.003271537622682661,0.0005452562704471102,0.0,0.0027262813522355507
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038188761593016913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005455537370430987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005455537370430987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923622476813966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005455537370430987,0.0,0.0,0.0,0.0010911074740861974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010911074740861974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1677814938684504,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0005574136008918618,0.391304347826087,0.011705685618729096,0.016164994425863992,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016722408026755853,0.0,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0005574136008918618,0.0,0.0039018952062430325,0.029542920847268672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0,0.0,0.0005574136008918618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016722408026755853,0.0,0.0005574136008918618,0.0005574136008918618,0.0,0.0005574136008918618,0.0,0.0,0.0005574136008918618,0.0,0.01839464882943144,0.0,0.0,0.0005574136008918618,0.0005574136008918618,0.0016722408026755853,0.0,0.0005574136008918618,0.0,0.0,0.0,0.1265328874024526,0.0189520624303233,0.19620958751393533,0.0005574136008918618,0.0005574136008918618,0.0,0.0005574136008918618,0.0005574136008918618
7,0.0,0.0,0.0,0.0,0.0,0.0005868544600938967,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0005868544600938967,0.0,0.0005868544600938967,0.0,0.0005868544600938967,0.0005868544600938967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0005868544600938967,0.0,0.02699530516431925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005868544600938967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005868544600938967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005868544600938967,0.0,0.0005868544600938967,0.0,0.0,0.0,0.0005868544600938967,0.0,0.0005868544600938967,0.0,0.0,0.0017605633802816902,0.009976525821596244,0.0005868544600938967,0.0005868544600938967,0.0,0.0,0.0,0.0005868544600938967,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0017605633802816902,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.09565727699530517,0.0011737089201877935,0.335093896713615,0.024061032863849766,0.4823943661971831,0.0005868544600938967,0.0,0.0017605633802816902
8,0.0,0.0,0.0,0.0013080444735120995,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9712230215827338,0.0006540222367560497,0.0013080444735120995,0.002616088947024199,0.0013080444735120995,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0006540222367560497,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0013080444735120995,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0,0.0,0.0013080444735120995,0.0,0.0,0.0006540222367560497,0.0,0.0006540222367560497,0.0013080444735120995,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006540222367560497,0.0,0.0,0.0013080444735120995,0.0,0.0,0.002616088947024199,0.0,0.0006540222367560497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006540222367560497,0.002616088947024199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006540222367560497
9,0.0013123359580052493,0.0,0.0,0.0,0.0,0.0,0.0013123359580052493,0.0,0.0006561679790026247,0.0,0.0006561679790026247,0.0,0.0006561679790026247,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006561679790026247,0.0006561679790026247,0.0013123359580052493,0.0006561679790026247,0.0,0.0006561679790026247,0.001968503937007874,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0,0.0013123359580052493,0.0,0.001968503937007874,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0013123359580052493,0.0013123359580052493,0.0,0.0006561679790026247,0.0006561679790026247,0.0,0.0,0.0,0.0006561679790026247,0.0006561679790026247,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0006561679790026247,0.0,0.0,0.0,0.0006561679790026247,0.0006561679790026247,0.0013123359580052493,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.001968503937007874,0.0,0.0026246719160104987,0.0,0.0032808398950131233,0.0,0.0,0.963254593175853
